Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.7081613780159384,0.3157894736842105,0.21428571428571427,0.6,6,112,22,4
0.6986126977750529,0.2926829268292683,0.1935483870967742,0.6,6,109,25,4
0.7175830078355593,0.34285714285714286,0.24,0.6,6,115,19,4
0.7113157872940339,0.32432432432432434,0.2222222222222222,0.6,6,113,21,4
0.652206358699728,0.28571428571428575,0.2,0.5,5,114,20,5
0.7007458712824521,0.24561403508771928,0.14893617021276595,0.7,7,94,40,3
0.7155000338975972,0.2641509433962264,0.16279069767441862,0.7,7,98,36,3
0.6856743058707562,0.2295081967213115,0.13725490196078433,0.7,7,90,44,3
0.7227641798688508,0.2745098039215686,0.17073170731707318,0.7,7,100,34,3
0.6724870303360126,0.2448979591836735,0.15384615384615385,0.6,6,101,33,4
